,budget,genres,id,imdb_id,popularity,release_date,revenue,runtime,title,vote_average,vote_count,gross_profit,ROI (%)
442,1200000,"['Crime', 'Thriller']",845,tt0044079,12.699000000000002,1951-06-30,7000000,101.0,Strangers on a Train,7.8,817,5800000.0,483.3333333333333
443,1400000,"['Drama', 'Adventure']",336808,tt4285496,6.877000000000001,2015-05-25,1320005,125.0,Embrace of the Serpent,7.8,249,-79995.0,-5.713928571428571
444,10000000,"['Crime', 'Drama', 'Thriller']",553,tt0276919,12.175,2003-05-19,16680836,178.0,Dogville,7.8,1382,6680836.0,66.80836
446,9500000,"['Drama', 'Romance']",110160,tt1650048,5.699,2012-05-18,12250,168.0,Laurence Anyways,7.8,425,-9487750.0,-99.87105263157895
450,1448864,"['Drama', 'War']",143,tt0020629,6.893,1930-04-29,3270000,133.0,All Quiet on the Western Front,7.8,347,1821136.0,125.69406100227489
454,4000000,['Comedy'],583,tt0079470,14.106,1979-08-17,20045115,94.0,Life of Brian,7.8,2464,16045115.0,401.12787499999996
455,3200000,"['Horror', 'Drama', 'Mystery']",805,tt0063522,14.501,1968-06-12,33395426,137.0,Rosemary's Baby,7.8,2078,30195426.0,943.6070625
460,97000000,"['Action', 'Drama', 'Science Fiction']",263115,tt3315342,26.614,2017-02-28,619021436,137.0,Logan,7.8,13590,522021436.0,538.1664288659794
461,3200000,"['Crime', 'Drama']",903,tt0061512,10.323,1967-06-22,16217773,127.0,Cool Hand Luke,7.8,722,13017773.0,406.80540625
467,10000000,['Drama'],404,tt0166896,9.527000000000001,1999-10-15,6203044,112.0,The Straight Story,7.8,729,-3796956.0,-37.96956
468,159000000,"['Crime', 'History', 'Drama']",398978,tt1302006,38.023,2019-11-01,607420,209.0,The Irishman,7.8,2761,-158392580.0,-99.6179748427673
469,97600000,"['Drama', 'Action']",359724,tt1950186,59.776,2019-11-13,220803003,152.0,Ford v Ferrari,7.8,1721,123203003.0,126.23258504098361
471,2000000,"['Crime', 'Drama', 'Mystery', 'Thriller']",10633,tt0061811,8.796,1967-08-02,27379978,109.0,In the Heat of the Night,7.8,470,25379978.0,1268.9989
472,12000000,"['Drama', 'Romance']",26022,tt1188996,9.398,2010-02-11,42345360,165.0,My Name Is Khan,7.8,452,30345360.0,252.878
473,2200000,"['Thriller', 'Drama']",982,tt0056218,8.183,1962-10-24,7700000,126.0,The Manchurian Candidate,7.8,323,5500000.0,250.0
475,14000000,"['Drama', 'Romance']",142,tt0388795,15.692,2005-09-10,178043761,134.0,Brokeback Mountain,7.8,3872,164043761.0,1171.74115
476,115000000,"['Animation', 'Comedy', 'Family']",585,tt0198781,30.026999999999997,2001-11-01,562816256,92.0,"Monsters, Inc.",7.8,12034,447816256.0,389.40544
477,48000000,"['Adventure', 'Action']",89,tt0097576,18.46,1989-05-24,474171806,127.0,Indiana Jones and the Last Crusade,7.8,6086,426171806.0,887.8579291666666
478,10000000,"['Thriller', 'Crime']",107,tt0208092,15.0,2000-09-01,83557872,103.0,Snatch,7.8,5348,73557872.0,735.57872
479,35000000,"['Crime', 'Mystery']",2118,tt0119488,15.658,1997-09-19,126216940,138.0,L.A. Confidential,7.8,2609,91216940.0,260.61982857142857
480,25000000,"['Drama', 'Action']",59440,tt1291584,15.245,2011-09-09,23057115,140.0,Warrior,7.8,2461,-1942885.0,-7.771540000000001
482,13000000,"['Comedy', 'Drama']",297222,tt2338151,11.838,2014-12-18,120000000,153.0,PK,7.8,500,107000000.0,823.076923076923
483,3000000,"['Drama', 'Romance']",261,tt0051459,9.208,1958-02-17,17570324,108.0,Cat on a Hot Tin Roof,7.8,376,14570324.0,485.67746666666665
486,2700000,"['Drama', 'Romance']",80,tt0381681,12.812999999999999,2004-02-10,15992615,80.0,Before Sunset,7.8,1706,13292615.0,492.3190740740741
487,30000000,['Animation'],149870,tt2013293,11.139000000000001,2013-07-20,117932401,126.0,The Wind Rises,7.8,1453,87932401.0,293.10800333333333
488,8500000,"['Drama', 'History', 'Mystery', 'Thriller']",891,tt0074119,16.730999999999998,1976-04-04,70600000,138.0,All the President's Men,7.8,911,62100000.0,730.5882352941177
490,1300000,['Drama'],25188,tt0067328,6.559,1971-10-03,29133000,119.0,The Last Picture Show,7.8,291,27833000.0,2141.0
492,150000000,"['Adventure', 'Fantasy', 'Family']",674,tt0330373,25.739,2005-11-16,895921036,157.0,Harry Potter and the Goblet of Fire,7.8,12477,745921036.0,497.28069066666666
493,200000000,"['Animation', 'Family', 'Comedy']",10193,tt0435761,25.776999999999997,2010-06-16,1066969703,103.0,Toy Story 3,7.8,9654,866969703.0,433.4848515
494,2500000,"['Comedy', 'Drama', 'Romance']",164,tt0054698,13.856,1961-10-06,9500000,115.0,Breakfast at Tiffany's,7.8,2528,7000000.0,280.0
497,165000000,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",177572,tt2245084,37.847,2014-10-24,657818612,102.0,Big Hero 6,7.8,11158,492818612.0,298.6779466666666
499,8900000,"['Drama', 'Romance']",86837,tt1602620,7.892,2012-07-01,29844753,127.0,Amour,7.8,860,20944753.0,235.3343033707865
502,70000000,"['Adventure', 'Fantasy', 'Drama']",587,tt0319061,15.57,2003-12-25,122919055,125.0,Big Fish,7.8,4428,52919055.0,75.59865
503,25000000,"['Crime', 'Drama', 'History', 'Thriller']",117,tt0094226,16.279,1987-06-03,76270454,119.0,The Untouchables,7.8,3210,51270454.0,205.081816
504,5000000,"['Crime', 'Drama', 'Mystery', 'Thriller']",30018,tt1216496,10.124,2009-05-28,17112713,129.0,Mother,7.8,466,12112713.0,242.25426
506,250000000,"['Adventure', 'Fantasy']",12444,tt0926084,28.144000000000002,2010-10-17,954305868,146.0,Harry Potter and the Deathly Hallows: Part 1,7.8,12095,704305868.0,281.7223472
510,531374,"['Adventure', 'Western']",995,tt0031971,9.075,1939-03-03,1103757,96.0,Stagecoach,7.8,508,572383.0,107.7175398118839
512,3000000,"['History', 'Comedy']",11686,tt0073312,6.154,1975-06-10,20173742,85.0,Love and Death,7.8,434,17173742.0,572.4580666666666
513,25000000,['Drama'],380,tt0095953,15.565999999999999,1988-12-11,354825435,134.0,Rain Man,7.8,3613,329825435.0,1319.30174
515,15000000,"['Adventure', 'History']",665,tt0052618,13.039000000000001,1959-12-26,146900000,212.0,Ben-Hur,7.7,1359,131900000.0,879.3333333333333
517,12516654,"['Animation', 'Comedy', 'Drama', 'Family']",126319,tt1816518,7.345,2012-12-12,8109160,78.0,Ernest & Celestine,7.7,288,-4407494.0,-35.213036966588675
518,165000000,"['Fantasy', 'Adventure', 'Animation', 'Family']",10191,tt0892769,26.889,2010-03-10,494878759,100.0,How to Train Your Dragon,7.7,8585,329878759.0,199.9265206060606
520,26000000,['Drama'],9800,tt0107818,10.673,1993-12-22,206678440,126.0,Philadelphia,7.7,2350,180678440.0,694.9170769230769
523,25000000,"['Romance', 'Family', 'Animation', 'Fantasy']",10020,tt0101414,28.543000000000003,1991-11-13,377350553,84.0,Beauty and the Beast,7.7,6448,352350553.0,1409.402212
524,1250000,['Drama'],28580,tt0037884,6.434,1945-11-29,11000000,101.0,The Lost Weekend,7.7,244,9750000.0,780.0
526,15000000,"['Drama', 'Romance']",12405,tt1010048,18.658,2008-05-12,377910544,120.0,Slumdog Millionaire,7.7,6728,362910544.0,2419.4036266666667
527,4000000,"['Comedy', 'Mystery', 'Romance', 'Thriller']",4808,tt0056923,9.718,1963-12-05,13474588,113.0,Charade,7.7,643,9474588.0,236.86470000000003
528,150000000,"['Animation', 'Adventure', 'Family', 'Comedy']",269149,tt2948356,36.926,2016-02-11,1023784195,109.0,Zootopia,7.7,11107,873784195.0,582.5227966666666
532,27000000,"['Music', 'Comedy', 'Action', 'Crime']",525,tt0080455,13.863,1980-06-17,115229890,133.0,The Blues Brothers,7.7,2347,88229890.0,326.77737037037036
533,9000000,"['Drama', 'Romance']",14811,tt0067093,6.989,1971-11-03,83304330,181.0,Fiddler on the Roof,7.7,257,74304330.0,825.6036666666666
534,3200000,['Western'],11697,tt0056217,6.897,1962-04-22,8000000,123.0,The Man Who Shot Liberty Valance,7.7,549,4800000.0,150.0
