,budget,genres,id,imdb_id,popularity,release_date,revenue,runtime,title,vote_average,vote_count
3980,12000000,"['Romance', 'Comedy']",454619,tt1563742,12.954,2018-05-03,91244913,112.0,Overboard,6.4,701
3981,8000000,"['Comedy', 'Crime']",9490,tt0120693,9.229,1998-01-16,17460020,82.0,Half Baked,6.4,306
3982,0,"['Action', 'Animation', 'Science Fiction']",39101,tt0142233,12.081,1990-06-07,0,61.0,Dragon Ball Z: The Tree of Might,6.4,260
3983,200000000,"['Action', 'Adventure', 'Fantasy']",102382,tt1872181,15.806,2014-04-16,705717432,142.0,The Amazing Spider-Man 2,6.4,8009
3984,0,"['Comedy', 'Romance']",11846,tt0101862,9.009,1991-12-20,89325780,105.0,Father of the Bride,6.4,732
3985,0,['Thriller'],84188,tt1971352,7.217,2012-08-23,319285,90.0,Compliance,6.4,375
3986,0,"['TV Movie', 'Comedy', 'Family']",81440,tt1828976,7.138,2011-12-02,0,85.0,"Good Luck Charlie, It's Christmas!",6.4,242
3987,5000000,['Horror'],157547,tt2388715,10.284,2014-04-03,44030246,104.0,Oculus,6.4,1947
3988,0,['Comedy'],21474,tt1349482,0.6,2009-07-31,0,102.0,Bring It On: Fight to the Finish,6.4,261
3989,0,"['Comedy', 'Romance']",16899,tt0808244,7.273,2008-01-01,0,93.0,Easy Virtue,6.4,235
3990,0,['Drama'],266082,tt3655522,5.299,2014-06-27,60765,112.0,Girlhood,6.4,200
3991,82000000,"['Comedy', 'Drama']",9291,tt0398165,12.361,2005-05-27,190320568,113.0,The Longest Yard,6.4,1802
3992,60000000,"['Thriller', 'Crime', 'Action']",11808,tt0120873,12.391,1998-03-06,102367405,131.0,U.S. Marshals,6.4,826
3993,8000000,"['Comedy', 'Romance']",58232,tt1487118,6.765,2011-02-02,1749457,96.0,Chalet Girl,6.4,433
3994,0,"['Comedy', 'Drama']",518452,tt7170950,7.336,2018-08-03,0,103.0,Like Father,6.4,413
3995,0,"['Drama', 'Comedy', 'Romance']",81342,tt1828995,6.114,2011-12-20,9696204,108.0,Delicacy,6.4,277
3996,150000000,"['Animation', 'Family', 'Adventure', 'Comedy']",13053,tt0397892,16.424,2008-01-29,309979994,98.0,Bolt,6.4,3839
3997,5000000,"['Comedy', 'Drama', 'Romance']",8346,tt0259446,10.395,2002-02-22,368744044,95.0,My Big Fat Greek Wedding,6.4,1288
3998,3500000,"['Action', 'Animation', 'Crime', 'Drama']",382322,tt4853102,11.609,2016-07-21,3775000,72.0,Batman: The Killing Joke,6.4,1009
3999,0,"['Drama', 'Thriller', 'Crime', 'Mystery']",10851,tt0365686,9.375,2005-09-11,0,115.0,Revolver,6.4,716
4000,0,"['Comedy', 'Romance']",1845,tt0841044,6.78,2007-02-09,19776159,96.0,2 Days in Paris,6.4,212
4001,20000000,"['Action', 'Comedy', 'Crime']",96,tt0092644,17.924,1987-05-18,299965036,100.0,Beverly Hills Cop II,6.4,1260
4002,5000000,['Comedy'],2171,tt0243655,7.535,2001-07-27,295206,97.0,Wet Hot American Summer,6.4,505
4003,10000000,"['Drama', 'Music']",27586,tt1017451,12.594,2010-03-19,2995811,106.0,The Runaways,6.4,497
4004,20000000,"['Drama', 'Comedy']",269148,tt3399024,6.22,2014-10-15,151530,118.0,Samba,6.4,651
4005,70000000,['Thriller'],10398,tt0150377,18.533,1999-09-24,177841558,105.0,Double Jeopardy,6.4,601
4006,30000000,"['Animation', 'Family', 'Comedy']",15655,tt0220099,11.459,2000-02-11,45554533,77.0,The Tigger Movie,6.4,319
4007,35000000,"['Crime', 'Drama', 'Mystery', 'Thriller']",8197,tt0119668,6.913,1997-11-21,25105255,155.0,Midnight in the Garden of Good and Evil,6.4,313
4008,0,"['Drama', 'Mystery', 'Thriller', 'TV Movie']",236399,tt3074694,8.908,2014-01-18,0,90.0,Flowers in the Attic,6.4,201
4009,10000000,"['Mystery', 'Thriller', 'Action']",13027,tt1059786,11.463,2008-09-25,0,118.0,Eagle Eye,6.4,1776
4010,35000000,"['Comedy', 'Drama', 'Family', 'Music', 'Romance']",18126,tt1114677,10.218,2009-04-10,155545279,102.0,Hannah Montana: The Movie,6.4,1235
4011,0,"['Action', 'Thriller']",399402,tt1846589,15.62,2018-10-19,0,122.0,Hunter Killer,6.4,926
4012,25000000,['Drama'],429189,tt5825380,9.174,2017-12-01,15366466,101.0,Wonder Wheel,6.4,835
4013,80000000,"['Drama', 'Thriller', 'Mystery']",14462,tt0368008,10.092,2004-07-30,96105964,129.0,The Manchurian Candidate,6.4,810
4014,0,"['Drama', 'Romance']",121674,tt1836808,6.939,2012-11-30,258656,128.0,Great Expectations,6.4,219
4015,40000000,"['Action', 'Science Fiction', 'Adventure']",841,tt0087182,13.418,1984-12-14,30925690,137.0,Dune,6.4,1173
4016,5005600,"['Drama', 'Horror', 'Thriller', 'Science Fiction']",375366,tt4547056,8.84,2016-09-23,0,110.0,The Girl with All the Gifts,6.4,1100
4017,40000000,"['Drama', 'Music']",402529,tt1666185,11.205,2017-06-12,44922302,139.0,All Eyez on Me,6.4,745
4018,17000000,"['Crime', 'Drama', 'Thriller']",26390,tt1210042,9.125,2009-01-16,36440201,133.0,Brooklyn's Finest,6.4,507
4019,0,['Drama'],271736,tt3083008,7.116,2015-09-16,3286448,103.0,The Program,6.4,325
4020,0,"['Comedy', 'Drama', 'Romance']",12308,tt0265930,5.106,2001-02-01,0,115.0,The Last Kiss,6.4,256
4021,35000000,"['Horror', 'Comedy', 'Romance']",82654,tt1588173,9.673,2013-01-31,116980662,97.0,Warm Bodies,6.4,4475
4022,35000000,"['Fantasy', 'Action', 'Adventure', 'Science Fiction', 'Thriller']",12437,tt0834001,10.745,2009-01-22,91353501,92.0,Underworld: Rise of the Lycans,6.4,2372
4023,19500000,"['Crime', 'Drama', 'Mystery', 'Thriller']",290751,tt1741273,8.823,2015-10-14,34854990,111.0,Secret in Their Eyes,6.4,805
4024,20000000,"['Action', 'Adventure', 'Drama', 'Thriller']",15070,tt0281322,10.325,2002-07-17,12398628,96.0,Undisputed,6.4,306
4025,0,['Comedy'],4728,tt0060450,7.136,1965-10-28,0,95.0,The Gendarme in New York,6.4,247
4026,0,"['Animation', 'Family', 'Fantasy', 'Romance']",16962,tt1007920,11.587,2007-01-01,0,75.0,Barbie Fairytopia: Magic of the Rainbow,6.4,216
4027,5800000,"['Romance', 'Drama']",413730,tt4650414,5.138,2016-09-15,0,103.0,Summertime,6.4,218
4028,185000000,"['Action', 'Adventure', 'Fantasy']",293167,tt3731562,31.424,2017-03-08,566652812,118.0,Kong: Skull Island,6.4,6757
4029,21000000,"['Comedy', 'Romance']",10591,tt0265208,13.175,2004-04-09,31635150,110.0,The Girl Next Door,6.4,1724
4030,9500000,['Comedy'],209403,tt2170299,11.477,2013-09-06,7800000,89.0,Bad Words,6.4,486
4031,0,"['Comedy', 'Drama', 'Romance']",9688,tt0378947,6.843,2004-10-29,20085825,100.0,Melinda and Melinda,6.4,249
4032,0,"['Drama', 'Music']",3537,tt0080716,5.562,1980-05-16,21202829,134.0,Fame,6.4,218
4033,19000000,['Comedy'],11247,tt0356470,14.147,2004-07-10,70067909,95.0,A Cinderella Story,6.4,2004
